زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
05:50                                                     1405/04/11,406.8mm,62W/m2,324.0degree,9.4°C,80.5%,3.0km/h,92.2kPa
05:50                                                     1405/04/12,406.8mm,59W/m2,321.0degree,9.5°C,83.2%,4.8km/h,92.0kPa
05:50                                                     1405/04/13,355.2mm,52W/m2,4.5degree,10.7°C,82.0%,1.5km/h,91.4kPa
05:50                                                     1405/04/14,355.2mm,76W/m2,273.4degree,12.9°C,73.9%,1.9km/h,91.5kPa
05:50                                                     1405/04/15,355.2mm,70W/m2,92.5degree,9.1°C,78.7%,0.6km/h,92.0kPa
05:50                                                     1405/04/16,355.2mm,41W/m2,74.6degree,11.1°C,62.2%,5.2km/h,91.9kPa
05:50                                                     1405/04/17,355.2mm,60W/m2,332.8degree,7.4°C,75.5%,8.2km/h,92.3kPa
05:50                                                     1405/04/18,355.2mm,85W/m2,323.2degree,6.5°C,77.9%,3.1km/h,92.1kPa
05:50                                                     1405/04/19,355.2mm,74W/m2,86.8degree,10.5°C,72.5%,2.9km/h,91.6kPa
05:50                                                     1405/04/20,355.2mm,64W/m2,355.5degree,15.8°C,51.0%,3.5km/h,91.2kPa
05:50                                                     1405/04/21,355.2mm,40W/m2,45.5degree,18.2°C,58.4%,3.5km/h,91.2kPa
05:50                                                     1405/04/22,355.8mm,18W/m2,203.8degree,13.5°C,88.8%,0.4km/h,91.4kPa
05:50                                                     1405/04/23,367.4mm,37W/m2,11.9degree,12.7°C,92.4%,0.5km/h,91.6kPa
05:50                                                     1405/04/24,367.4mm,100W/m2,86.0degree,15.3°C,83.5%,0.9km/h,91.5kPa
05:50                                                     1405/04/25,376.8mm,108W/m2,32.5degree,15.0°C,78.9%,2.3km/h,91.7kPa
05:50                                                     1405/04/26,376.8mm,34W/m2,321.4degree,19.1°C,45.2%,9.2km/h,91.8kPa
05:50                                                     1405/04/27,376.8mm,71W/m2,319.9degree,13.0°C,69.5%,1.6km/h,91.6kPa
05:50                                                     1405/04/28,376.8mm,115W/m2,323.1degree,16.8°C,66.2%,8.4km/h,91.5kPa
05:50                                                     1405/04/29,376.8mm,99W/m2,309.2degree,17.6°C,53.5%,3.1km/h,91.6kPa
05:50                                                     1405/05/01,376.8mm,44W/m2,337.2degree,14.7°C,73.8%,3.9km/h,91.9kPa
05:50                                                     1405/05/02,376.8mm,177W/m2,333.6degree,14.1°C,74.9%,3.1km/h,91.8kPa
05:50                                                     1405/05/03,376.8mm,111W/m2,330.8degree,15.0°C,70.1%,7.0km/h,91.8kPa
05:50                                                     1405/05/04,376.8mm,128W/m2,339.7degree,14.0°C,65.8%,5.5km/h,91.8kPa
05:50                                                     1405/05/05,376.8mm,122W/m2,272.0degree,18.7°C,43.4%,2.1km/h,91.5kPa
05:50                                                     1405/05/06,376.8mm,106W/m2,16.3degree,22.5°C,39.6%,6.6km/h,91.6kPa
05:50                                                     1405/05/07,376.8mm,103W/m2,52.1degree,19.4°C,49.9%,0.8km/h,91.3kPa
05:50                                                     1405/05/08,376.8mm,109W/m2,67.3degree,18.6°C,61.8%,2.9km/h,91.8kPa
05:50                                                     1405/05/09,376.8mm,121W/m2,342.7degree,21.4°C,45.1%,4.9km/h,91.7kPa
05:50                                                     1405/05/11,378.4mm,144W/m2,310.0degree,17.3°C,61.9%,7.7km/h,92.0kPa
06:00                                                     1405/03/21,290.2mm,23W/m2,41.1degree,11.4°C,66.4%,2.7km/h,91.1kPa
06:00                                                     1405/03/22,290.2mm,11W/m2,284.2degree,10.1°C,70.7%,4.3km/h,91.7kPa
06:00                                                     1405/03/23,290.6mm,41W/m2,268.6degree,9.4°C,73.8%,4.6km/h,91.9kPa
06:00                                                     1405/03/24,290.6mm,30W/m2,315.4degree,11.5°C,70.9%,3.1km/h,91.6kPa
06:00                                                     1405/03/25,293.8mm,11W/m2,328.5degree,14.2°C,87.5%,5.2km/h,90.9kPa
06:00                                                     1405/03/26,295.0mm,37W/m2,280.3degree,11.3°C,90.9%,2.4km/h,91.2kPa
06:00                                                     1405/03/27,295.0mm,34W/m2,133.7degree,14.2°C,76.5%,6.2km/h,91.2kPa
06:00                                                     1405/03/28,304.2mm,16W/m2,206.3degree,11.6°C,91.8%,10.3km/h,90.9kPa
06:00                                                     1405/03/29,304.2mm,51W/m2,337.1degree,7.0°C,82.1%,6.4km/h,91.0kPa
06:00                                                     1405/03/30,325.8mm,41W/m2,140.1degree,9.3°C,75.9%,3.3km/h,90.9kPa
06:00                                                     1405/03/31,325.8mm,56W/m2,326.5degree,8.7°C,75.3%,4.0km/h,91.2kPa
06:00                                                     1405/04/01,326.4mm,4W/m2,82.0degree,12.1°C,79.9%,10.0km/h,91.2kPa
06:00                                                     1405/04/02,350.4mm,25W/m2,38.0degree,9.5°C,78.9%,0.4km/h,91.7kPa
06:00                                                     1405/04/03,350.6mm,62W/m2,294.2degree,7.0°C,87.6%,0.4km/h,91.5kPa
06:00                                                     1405/04/04,350.6mm,71W/m2,8.7degree,8.1°C,85.2%,3.7km/h,91.3kPa
06:00                                                     1405/04/09,406.4mm,84W/m2,6.3degree,7.8°C,89.8%,2.7km/h,91.6kPa
06:00                                                     1405/04/10,406.4mm,98W/m2,329.7degree,9.7°C,80.4%,4.9km/h,91.8kPa
06:00                                                     1405/04/11,406.8mm,83W/m2,309.9degree,10.2°C,78.8%,5.6km/h,92.2kPa
06:00                                                     1405/04/12,406.8mm,106W/m2,251.7degree,10.1°C,83.0%,0.6km/h,92.0kPa
06:00                                                     1405/04/13,355.2mm,85W/m2,309.2degree,11.0°C,81.4%,1.3km/h,91.4kPa
06:00                                                     1405/04/14,355.2mm,100W/m2,327.5degree,13.5°C,72.5%,5.1km/h,91.5kPa
06:00                                                     1405/04/15,355.2mm,89W/m2,319.8degree,9.5°C,79.5%,0.4km/h,92.0kPa
06:00                                                     1405/04/16,355.2mm,60W/m2,60.7degree,11.1°C,62.7%,4.9km/h,91.9kPa
06:00                                                     1405/04/17,355.2mm,73W/m2,325.0degree,8.0°C,74.0%,7.1km/h,92.3kPa
06:00                                                     1405/04/18,355.2mm,109W/m2,329.9degree,7.1°C,77.0%,3.1km/h,92.0kPa
06:00                                                     1405/04/19,355.2mm,85W/m2,54.7degree,10.5°C,72.2%,0.1km/h,91.6kPa
06:00                                                     1405/04/20,355.2mm,73W/m2,8.8degree,15.9°C,51.4%,3.2km/h,91.2kPa
06:00                                                     1405/04/21,355.2mm,66W/m2,290.9degree,18.3°C,60.3%,5.7km/h,91.2kPa
06:00                                                     1405/04/22,355.8mm,13W/m2,72.1degree,13.6°C,89.1%,3.4km/h,91.3kPa
06:00                                                     1405/04/23,367.4mm,38W/m2,311.3degree,12.7°C,92.6%,0.3km/h,91.7kPa
06:00                                                     1405/04/24,367.4mm,129W/m2,69.6degree,15.6°C,83.6%,0.6km/h,91.5kPa
06:00                                                     1405/04/25,376.8mm,129W/m2,357.3degree,16.0°C,77.3%,1.7km/h,91.7kPa
06:00                                                     1405/04/26,376.8mm,25W/m2,318.7degree,19.8°C,43.2%,5.9km/h,91.9kPa
06:00                                                     1405/04/27,376.8mm,73W/m2,330.3degree,13.5°C,67.2%,5.9km/h,91.6kPa
06:00                                                     1405/04/28,376.8mm,139W/m2,315.1degree,17.3°C,65.7%,10.5km/h,91.5kPa
06:00                                                     1405/04/29,376.8mm,125W/m2,317.3degree,18.3°C,51.2%,9.9km/h,91.6kPa
06:00                                                     1405/04/30,376.8mm,132W/m2,281.2degree,19.1°C,50.3%,1.9km/h,91.4kPa
06:00                                                     1405/05/01,376.8mm,27W/m2,346.7degree,14.7°C,71.7%,5.1km/h,91.9kPa
06:00                                                     1405/05/02,376.8mm,175W/m2,336.3degree,15.1°C,71.1%,0.6km/h,91.8kPa
06:00                                                     1405/05/03,376.8mm,142W/m2,334.6degree,15.6°C,68.8%,4.9km/h,91.9kPa
06:00                                                     1405/05/04,376.8mm,154W/m2,27.0degree,14.8°C,63.4%,4.4km/h,91.8kPa
06:00                                                     1405/05/05,376.8mm,143W/m2,315.8degree,20.5°C,38.5%,3.2km/h,91.6kPa
06:00                                                     1405/05/06,376.8mm,156W/m2,58.1degree,21.5°C,42.8%,1.2km/h,91.6kPa
06:00                                                     1405/05/07,376.8mm,128W/m2,176.5degree,20.0°C,49.5%,1.0km/h,91.3kPa
06:00                                                     1405/05/08,376.8mm,131W/m2,336.6degree,19.0°C,60.0%,2.6km/h,91.8kPa
06:00                                                     1405/05/09,376.8mm,144W/m2,334.9degree,21.9°C,43.6%,6.8km/h,91.7kPa
06:00                                                     1405/05/10,378.4mm,152W/m2,44.8degree,17.0°C,73.8%,9.2km/h,92.0kPa
06:00                                                     1405/05/11,378.4mm,168W/m2,318.4degree,17.9°C,60.8%,4.8km/h,92.0kPa
06:10                                                     1405/03/21,290.2mm,49W/m2,330.7degree,10.9°C,69.6%,1.8km/h,91.1kPa
06:10                                                     1405/03/22,290.2mm,44W/m2,257.3degree,9.8°C,71.2%,3.4km/h,91.7kPa
06:10                                                     1405/03/23,290.6mm,60W/m2,291.9degree,10.0°C,71.1%,0.9km/h,92.1kPa
06:10                                                     1405/03/24,290.6mm,38W/m2,306.9degree,12.1°C,70.3%,2.8km/h,91.7kPa
06:10                                                     1405/03/25,293.8mm,15W/m2,313.2degree,14.3°C,86.9%,1.2km/h,91.0kPa
06:10                                                     1405/03/26,295.0mm,69W/m2,274.9degree,11.9°C,90.1%,3.9km/h,91.2kPa
06:10                                                     1405/03/27,295.0mm,48W/m2,121.7degree,14.3°C,76.8%,4.2km/h,91.2kPa
06:10                                                     1405/03/28,304.2mm,36W/m2,206.3degree,11.6°C,92.0%,8.7km/h,90.9kPa
06:10                                                     1405/03/29,304.2mm,72W/m2,274.8degree,7.8°C,81.2%,1.0km/h,91.0kPa
06:10                                                     1405/03/30,325.8mm,51W/m2,351.4degree,10.1°C,73.5%,0.5km/h,91.0kPa
06:10                                                     1405/03/31,325.8mm,78W/m2,311.5degree,9.6°C,75.0%,1.8km/h,91.2kPa
06:10                                                     1405/04/01,327.2mm,4W/m2,98.2degree,11.9°C,80.4%,11.6km/h,91.2kPa
06:10                                                     1405/04/02,350.4mm,29W/m2,4.1degree,9.5°C,79.1%,5.0km/h,91.7kPa
06:10                                                     1405/04/03,350.6mm,81W/m2,287.3degree,7.2°C,86.8%,1.4km/h,91.5kPa
06:10                                                     1405/04/04,350.6mm,29W/m2,289.2degree,9.1°C,85.9%,2.3km/h,91.3kPa
06:10                                                     1405/04/09,406.4mm,97W/m2,323.3degree,8.4°C,88.9%,3.2km/h,91.6kPa
06:10                                                     1405/04/10,406.4mm,122W/m2,332.9degree,10.0°C,80.4%,5.4km/h,91.8kPa
06:10                                                     1405/04/11,406.8mm,107W/m2,312.0degree,10.9°C,76.8%,7.1km/h,92.2kPa
06:10                                                     1405/04/12,406.8mm,98W/m2,302.5degree,10.7°C,81.3%,2.7km/h,92.0kPa
06:10                                                     1405/04/13,355.2mm,95W/m2,344.9degree,11.8°C,78.9%,1.4km/h,91.4kPa
06:10                                                     1405/04/14,355.2mm,125W/m2,315.3degree,14.1°C,71.4%,2.5km/h,91.5kPa
06:10                                                     1405/04/15,355.2mm,110W/m2,316.4degree,9.9°C,79.4%,1.4km/h,92.1kPa
06:10                                                     1405/04/16,355.2mm,72W/m2,71.8degree,11.3°C,61.5%,8.9km/h,91.9kPa
06:10                                                     1405/04/17,355.2mm,96W/m2,322.7degree,8.4°C,72.1%,5.2km/h,92.3kPa
06:10                                                     1405/04/18,355.2mm,134W/m2,330.2degree,7.9°C,74.3%,2.8km/h,92.0kPa
06:10                                                     1405/04/19,355.2mm,176W/m2,85.1degree,11.2°C,71.4%,0.7km/h,91.6kPa
06:10                                                     1405/04/20,355.2mm,81W/m2,316.8degree,16.1°C,52.0%,8.0km/h,91.2kPa
06:10                                                     1405/04/21,355.2mm,166W/m2,20.9degree,18.4°C,60.8%,1.5km/h,91.2kPa
06:10                                                     1405/04/22,356.0mm,18W/m2,163.9degree,13.7°C,89.8%,1.2km/h,91.4kPa
06:10                                                     1405/04/23,367.4mm,36W/m2,125.2degree,12.8°C,92.8%,2.7km/h,91.7kPa
06:10                                                     1405/04/24,367.4mm,128W/m2,33.3degree,16.0°C,83.2%,0.3km/h,91.5kPa
06:10                                                     1405/04/25,376.8mm,157W/m2,315.5degree,16.9°C,73.5%,5.9km/h,91.7kPa
06:10                                                     1405/04/26,376.8mm,34W/m2,320.9degree,19.8°C,44.8%,5.4km/h,91.9kPa
06:10                                                     1405/04/27,376.8mm,94W/m2,327.2degree,13.8°C,64.6%,3.9km/h,91.5kPa
06:10                                                     1405/04/28,376.8mm,165W/m2,316.8degree,17.9°C,63.6%,8.5km/h,91.4kPa
06:10                                                     1405/04/29,376.8mm,147W/m2,339.7degree,19.0°C,49.5%,8.1km/h,91.6kPa
06:10                                                     1405/04/30,376.8mm,157W/m2,281.4degree,20.5°C,45.0%,1.9km/h,91.4kPa
06:10                                                     1405/05/01,376.8mm,60W/m2,337.9degree,14.9°C,71.9%,5.3km/h,91.9kPa
06:10                                                     1405/05/03,376.8mm,164W/m2,318.3degree,16.4°C,66.4%,5.1km/h,91.9kPa
06:10                                                     1405/05/04,376.8mm,177W/m2,322.7degree,15.6°C,59.7%,6.9km/h,91.7kPa
06:10                                                     1405/05/05,376.8mm,169W/m2,319.5degree,21.4°C,36.1%,7.8km/h,91.6kPa
06:10                                                     1405/05/06,376.8mm,182W/m2,103.2degree,22.8°C,41.2%,0.7km/h,91.6kPa
06:10                                                     1405/05/07,376.8mm,154W/m2,163.5degree,21.4°C,46.5%,2.3km/h,91.3kPa
06:10                                                     1405/05/08,376.8mm,156W/m2,332.3degree,19.9°C,57.3%,2.2km/h,91.8kPa
06:10                                                     1405/05/09,376.8mm,173W/m2,20.2degree,22.3°C,41.7%,4.9km/h,91.7kPa
06:20                                                     1405/03/21,290.2mm,82W/m2,318.5degree,11.8°C,68.6%,4.3km/h,91.2kPa
06:20                                                     1405/03/22,290.2mm,68W/m2,218.4degree,10.5°C,70.1%,5.1km/h,91.7kPa
06:20                                                     1405/03/23,290.6mm,80W/m2,328.0degree,8.8°C,73.5%,0.2km/h,92.0kPa
06:20                                                     1405/03/24,290.6mm,39W/m2,307.7degree,12.4°C,68.8%,2.3km/h,91.7kPa
06:20                                                     1405/03/25,293.8mm,16W/m2,286.8degree,14.4°C,87.1%,1.0km/h,91.0kPa
06:20                                                     1405/03/26,295.0mm,75W/m2,219.1degree,12.3°C,88.7%,1.4km/h,91.2kPa
06:20                                                     1405/03/27,295.0mm,68W/m2,108.2degree,14.4°C,77.2%,8.7km/h,91.2kPa
06:20                                                     1405/03/28,304.2mm,68W/m2,208.4degree,11.8°C,92.2%,5.5km/h,90.9kPa
06:20                                                     1405/03/29,304.2mm,98W/m2,242.4degree,8.7°C,79.5%,1.1km/h,91.0kPa
06:20                                                     1405/03/30,325.8mm,98W/m2,273.4degree,10.4°C,75.1%,1.0km/h,91.1kPa
06:20                                                     1405/03/31,325.8mm,103W/m2,318.1degree,10.7°C,71.2%,3.8km/h,91.2kPa
06:20                                                     1405/04/01,327.6mm,3W/m2,80.7degree,11.7°C,82.3%,10.6km/h,91.2kPa
06:20                                                     1405/04/02,350.4mm,43W/m2,31.8degree,9.6°C,78.9%,3.0km/h,91.7kPa
06:20                                                     1405/04/03,350.6mm,102W/m2,219.7degree,7.9°C,87.1%,0.5km/h,91.5kPa
06:20                                                     1405/04/04,350.6mm,134W/m2,350.2degree,9.9°C,84.0%,4.9km/h,91.3kPa
06:20                                                     1405/04/09,406.4mm,106W/m2,311.8degree,8.9°C,88.1%,0.3km/h,91.6kPa
06:20                                                     1405/04/10,406.4mm,147W/m2,325.9degree,10.7°C,77.3%,7.1km/h,91.8kPa
06:20                                                     1405/04/11,406.8mm,132W/m2,316.9degree,11.4°C,75.6%,4.1km/h,92.2kPa
06:20                                                     1405/04/12,406.8mm,136W/m2,343.3degree,11.5°C,80.8%,2.7km/h,92.0kPa
06:20                                                     1405/04/13,355.2mm,79W/m2,317.1degree,12.0°C,79.3%,6.7km/h,91.5kPa
06:20                                                     1405/04/14,355.2mm,146W/m2,344.7degree,15.0°C,70.0%,2.8km/h,91.6kPa
06:20                                                     1405/04/15,355.2mm,130W/m2,339.5degree,10.4°C,76.9%,3.0km/h,92.1kPa
06:20                                                     1405/04/16,355.2mm,117W/m2,70.4degree,11.8°C,60.0%,9.6km/h,91.8kPa
06:20                                                     1405/04/17,355.2mm,106W/m2,314.2degree,8.9°C,70.7%,6.9km/h,92.3kPa
06:20                                                     1405/04/18,355.2mm,159W/m2,1.1degree,8.6°C,72.8%,5.8km/h,92.0kPa
06:20                                                     1405/04/19,355.2mm,174W/m2,314.7degree,12.1°C,68.9%,0.3km/h,91.6kPa
06:20                                                     1405/04/20,355.2mm,60W/m2,331.2degree,16.3°C,51.9%,4.5km/h,91.3kPa
06:20                                                     1405/04/21,355.2mm,178W/m2,30.2degree,19.6°C,56.5%,0.3km/h,91.2kPa
06:20                                                     1405/04/22,356.0mm,24W/m2,55.2degree,14.0°C,90.5%,2.7km/h,91.4kPa
06:20                                                     1405/04/23,367.4mm,36W/m2,116.2degree,12.6°C,92.8%,5.1km/h,91.7kPa
06:20                                                     1405/04/24,367.4mm,175W/m2,294.7degree,16.6°C,82.5%,2.1km/h,91.5kPa
06:20                                                     1405/04/25,376.8mm,186W/m2,322.6degree,17.8°C,71.3%,7.3km/h,91.8kPa
06:20                                                     1405/04/26,376.8mm,45W/m2,327.2degree,20.0°C,42.7%,7.5km/h,91.9kPa
06:20                                                     1405/04/27,376.8mm,114W/m2,41.9degree,14.0°C,64.1%,0.9km/h,91.6kPa
06:20                                                     1405/04/28,376.8mm,189W/m2,325.7degree,18.5°C,60.7%,7.5km/h,91.4kPa
06:20                                                     1405/04/29,376.8mm,174W/m2,316.9degree,19.5°C,48.5%,10.1km/h,91.6kPa
06:20                                                     1405/04/30,376.8mm,184W/m2,333.3degree,21.1°C,43.5%,2.5km/h,91.4kPa
06:20                                                     1405/05/01,376.8mm,56W/m2,7.5degree,15.0°C,70.9%,3.1km/h,91.9kPa
06:20                                                     1405/05/02,376.8mm,74W/m2,99.7degree,15.8°C,67.2%,1.4km/h,91.8kPa
06:20                                                     1405/05/03,376.8mm,179W/m2,299.3degree,17.4°C,62.9%,3.6km/h,91.9kPa
06:20                                                     1405/05/04,376.8mm,204W/m2,311.3degree,16.5°C,58.1%,3.0km/h,91.8kPa
06:20                                                     1405/05/05,376.8mm,198W/m2,316.1degree,22.0°C,35.5%,7.5km/h,91.7kPa
06:20                                                     1405/05/06,376.8mm,219W/m2,286.8degree,24.3°C,35.3%,1.4km/h,91.7kPa
06:20                                                     1405/05/08,376.8mm,179W/m2,325.0degree,20.7°C,53.5%,4.4km/h,91.8kPa
06:20                                                     1405/05/09,376.8mm,200W/m2,352.0degree,22.7°C,39.5%,5.3km/h,91.7kPa
06:20                                                     1405/05/10,378.4mm,201W/m2,52.6degree,17.5°C,70.8%,11.8km/h,92.2kPa
06:20                                                     1405/05/11,378.4mm,199W/m2,335.4degree,18.9°C,57.6%,1.0km/h,91.9kPa
06:30                                                     1405/03/21,290.2mm,105W/m2,320.9degree,12.5°C,67.4%,1.7km/h,91.2kPa
06:30                                                     1405/03/22,290.2mm,81W/m2,271.4degree,10.7°C,71.4%,0.9km/h,91.8kPa
06:30                                                     1405/03/23,290.6mm,102W/m2,294.6degree,9.1°C,77.9%,1.0km/h,91.9kPa
06:30                                                     1405/03/24,290.6mm,43W/m2,317.8degree,12.9°C,66.0%,5.1km/h,91.7kPa
06:30                                                     1405/03/25,293.8mm,25W/m2,315.7degree,14.3°C,87.2%,2.6km/h,91.0kPa
06:30                                                     1405/03/26,295.0mm,76W/m2,298.0degree,12.8°C,87.2%,2.2km/h,91.2kPa
06:30                                                     1405/03/27,295.0mm,91W/m2,118.2degree,14.7°C,76.8%,6.1km/h,91.2kPa
06:30                                                     1405/03/28,304.2mm,108W/m2,211.3degree,12.2°C,92.1%,7.8km/h,90.9kPa
06:30                                                     1405/03/29,304.2mm,126W/m2,315.2degree,9.4°C,79.0%,5.8km/h,91.0kPa
06:30                                                     1405/03/30,325.8mm,132W/m2,53.7degree,11.6°C,70.3%,1.8km/h,91.1kPa
06:30                                                     1405/03/31,325.8mm,128W/m2,312.4degree,11.4°C,67.6%,5.7km/h,91.2kPa
06:30                                                     1405/04/01,328.6mm,8W/m2,82.7degree,11.5°C,82.7%,8.7km/h,91.2kPa
06:30                                                     1405/04/02,350.4mm,55W/m2,62.4degree,9.6°C,80.1%,2.9km/h,91.7kPa
06:30                                                     1405/04/03,350.6mm,127W/m2,108.9degree,9.0°C,86.1%,2.0km/h,91.5kPa
06:30                                                     1405/04/04,350.6mm,189W/m2,324.4degree,10.5°C,82.5%,3.8km/h,91.3kPa
06:30                                                     1405/04/09,406.4mm,157W/m2,301.0degree,9.6°C,86.9%,3.0km/h,91.6kPa
06:30                                                     1405/04/10,406.4mm,174W/m2,320.1degree,11.3°C,74.1%,9.6km/h,91.8kPa
06:30                                                     1405/04/11,406.8mm,158W/m2,295.6degree,12.2°C,75.5%,2.3km/h,92.2kPa
06:30                                                     1405/04/12,406.8mm,131W/m2,324.6degree,12.3°C,78.9%,2.1km/h,92.0kPa
06:30                                                     1405/04/13,355.2mm,164W/m2,320.0degree,12.9°C,79.2%,1.9km/h,91.5kPa
06:30                                                     1405/04/14,355.2mm,173W/m2,5.9degree,16.1°C,66.6%,2.1km/h,91.6kPa
06:30                                                     1405/04/15,355.2mm,157W/m2,326.1degree,10.7°C,74.1%,5.5km/h,92.1kPa
06:30                                                     1405/04/16,355.2mm,105W/m2,330.1degree,12.2°C,61.8%,1.6km/h,91.9kPa
06:30                                                     1405/04/17,355.2mm,111W/m2,323.0degree,9.2°C,69.2%,7.1km/h,92.3kPa
06:30                                                     1405/04/18,355.2mm,188W/m2,329.6degree,9.5°C,69.9%,4.9km/h,92.0kPa
06:30                                                     1405/04/19,355.2mm,180W/m2,141.1degree,12.9°C,66.9%,2.1km/h,91.6kPa
06:30                                                     1405/04/20,355.2mm,85W/m2,0.4degree,16.2°C,53.6%,2.1km/h,91.3kPa
06:30                                                     1405/04/21,355.2mm,177W/m2,324.7degree,20.0°C,57.1%,4.1km/h,91.2kPa
06:30                                                     1405/04/22,356.2mm,19W/m2,74.3degree,14.0°C,90.5%,2.6km/h,91.4kPa
06:30                                                     1405/04/23,367.4mm,46W/m2,65.3degree,12.5°C,93.1%,4.4km/h,91.7kPa
06:30                                                     1405/04/24,367.4mm,204W/m2,318.4degree,17.5°C,80.2%,2.4km/h,91.5kPa
06:30                                                     1405/04/25,376.8mm,204W/m2,323.1degree,18.8°C,68.6%,2.8km/h,91.8kPa
06:30                                                     1405/04/26,376.8mm,81W/m2,321.0degree,20.0°C,43.5%,8.8km/h,92.0kPa
06:30                                                     1405/04/27,376.8mm,163W/m2,40.4degree,14.3°C,63.0%,2.2km/h,91.5kPa
06:30                                                     1405/04/28,376.8mm,214W/m2,322.0degree,19.0°C,58.4%,14.4km/h,91.4kPa
06:30                                                     1405/04/29,376.8mm,200W/m2,316.0degree,20.1°C,46.6%,13.2km/h,91.6kPa
06:30                                                     1405/04/30,376.8mm,210W/m2,330.3degree,21.4°C,44.1%,1.4km/h,91.4kPa
06:30                                                     1405/05/01,376.8mm,36W/m2,344.9degree,15.1°C,69.7%,5.9km/h,91.9kPa
06:30                                                     1405/05/02,376.8mm,130W/m2,16.5degree,15.4°C,68.3%,2.4km/h,91.8kPa
06:30                                                     1405/05/03,376.8mm,222W/m2,58.5degree,18.3°C,60.2%,2.4km/h,91.9kPa
06:30                                                     1405/05/04,376.8mm,230W/m2,357.2degree,17.5°C,56.5%,1.3km/h,91.8kPa
06:30                                                     1405/05/05,376.8mm,227W/m2,334.2degree,22.7°C,34.3%,4.0km/h,91.7kPa
06:30                                                     1405/05/06,376.8mm,238W/m2,78.2degree,25.9°C,34.3%,1.4km/h,91.7kPa
06:30                                                     1405/05/07,376.8mm,207W/m2,72.6degree,22.7°C,44.6%,2.4km/h,91.4kPa
06:30                                                     1405/05/08,376.8mm,205W/m2,327.8degree,21.2°C,51.0%,2.6km/h,91.9kPa
06:30                                                     1405/05/11,378.4mm,206W/m2,348.0degree,19.3°C,56.7%,1.5km/h,91.9kPa
06:40                                                     1405/03/21,290.2mm,102W/m2,358.9degree,12.7°C,65.5%,3.1km/h,91.2kPa
06:40                                                     1405/03/22,290.2mm,106W/m2,247.5degree,11.3°C,70.2%,3.7km/h,91.8kPa
06:40                                                     1405/03/23,290.6mm,129W/m2,282.3degree,10.5°C,75.0%,4.2km/h,92.0kPa
06:40                                                     1405/03/24,290.6mm,92W/m2,329.4degree,13.5°C,64.2%,4.2km/h,91.8kPa
06:40                                                     1405/03/25,293.8mm,20W/m2,325.3degree,14.4°C,87.2%,0.9km/h,91.0kPa
06:40                                                     1405/03/26,295.0mm,132W/m2,75.0degree,12.9°C,87.5%,0.3km/h,91.2kPa
06:40                                                     1405/03/27,295.0mm,97W/m2,103.3degree,15.2°C,76.5%,5.7km/h,91.2kPa
06:40                                                     1405/03/28,304.2mm,159W/m2,201.0degree,12.8°C,91.5%,10.9km/h,90.9kPa
06:40                                                     1405/03/29,304.2mm,159W/m2,311.2degree,10.5°C,72.6%,6.2km/h,91.1kPa
06:40                                                     1405/03/30,325.8mm,163W/m2,59.8degree,12.2°C,68.9%,0.9km/h,91.2kPa
06:40                                                     1405/03/31,325.8mm,154W/m2,316.1degree,12.2°C,66.7%,3.2km/h,91.2kPa
06:40                                                     1405/04/01,329.4mm,7W/m2,85.6degree,11.4°C,83.7%,11.8km/h,91.2kPa
06:40                                                     1405/04/02,350.4mm,69W/m2,341.0degree,9.7°C,80.9%,2.6km/h,91.8kPa
06:40                                                     1405/04/04,350.6mm,151W/m2,22.1degree,11.8°C,79.8%,2.4km/h,91.3kPa
06:40                                                     1405/04/09,406.4mm,189W/m2,299.6degree,10.4°C,84.6%,5.3km/h,91.6kPa
06:40                                                     1405/04/10,406.4mm,199W/m2,331.0degree,12.1°C,72.8%,12.1km/h,91.8kPa
06:40                                                     1405/04/11,406.8mm,183W/m2,272.3degree,13.4°C,73.4%,1.1km/h,92.2kPa
06:40                                                     1405/04/12,406.8mm,189W/m2,323.7degree,13.2°C,74.9%,4.0km/h,92.0kPa
06:40                                                     1405/04/13,355.2mm,170W/m2,319.2degree,14.3°C,71.4%,5.7km/h,91.4kPa
06:40                                                     1405/04/14,355.2mm,201W/m2,84.2degree,16.9°C,64.7%,0.8km/h,91.6kPa
06:40                                                     1405/04/15,355.2mm,180W/m2,350.8degree,11.1°C,72.6%,4.5km/h,92.1kPa
06:40                                                     1405/04/16,355.2mm,97W/m2,353.8degree,12.4°C,60.3%,2.5km/h,91.9kPa
06:40                                                     1405/04/17,355.2mm,115W/m2,348.7degree,9.5°C,67.5%,1.6km/h,92.3kPa
06:40                                                     1405/04/18,355.2mm,213W/m2,301.2degree,10.2°C,66.5%,5.9km/h,92.0kPa
06:40                                                     1405/04/19,355.2mm,237W/m2,127.1degree,14.2°C,62.7%,3.1km/h,91.6kPa
06:40                                                     1405/04/20,355.2mm,136W/m2,329.3degree,16.5°C,52.8%,8.6km/h,91.3kPa
06:40                                                     1405/04/21,355.2mm,150W/m2,324.4degree,20.0°C,56.4%,2.1km/h,91.2kPa
06:40                                                     1405/04/22,356.2mm,18W/m2,43.9degree,14.1°C,90.7%,2.2km/h,91.4kPa
06:40                                                     1405/04/23,367.4mm,51W/m2,75.2degree,12.5°C,93.3%,3.7km/h,91.7kPa
